"PAXSTAT"	"PAXCAL"	"PAXDAY"	"PAXN"	"PAXHOUR"	"PAXMINUT"	"PAXINTEN"	"PAXSTEP"
2	2	6	1	0	0	22607	0
2	2	6	2	0	1	22380	0
2	2	6	3	0	2	21655	0
2	2	6	4	0	3	22170	0
2	2	6	5	0	4	22054	0
2	2	6	6	0	5	22100	0
2	2	6	7	0	6	22132	0
2	2	6	8	0	7	21749	0
2	2	6	9	0	8	22035	0
2	2	6	10	0	9	20880	0
2	2	6	11	0	10	17876	0
2	2	6	12	0	11	17260	0
2	2	6	13	0	12	17363	0
2	2	6	14	0	13	18439	0
2	2	6	15	0	14	18217	0
2	2	6	16	0	15	17803	0
2	2	6	17	0	16	18661	0
2	2	6	18	0	17	17554	0
2	2	6	19	0	18	17564	0
2	2	6	20	0	19	17228	0
2	2	6	21	0	20	18817	0
2	2	6	22	0	21	19350	0
2	2	6	23	0	22	19500	0
2	2	6	24	0	23	19938	0
2	2	6	25	0	24	19304	0
2	2	6	26	0	25	18733	0
2	2	6	27	0	26	18484	0
2	2	6	28	0	27	18900	0
2	2	6	29	0	28	19148	0
2	2	6	30	0	29	18616	0
2	2	6	31	0	30	19451	0
2	2	6	32	0	31	19376	0
2	2	6	33	0	32	19268	0
2	2	6	34	0	33	18442	0
2	2	6	35	0	34	18380	0
2	2	6	36	0	35	17374	0
2	2	6	37	0	36	17483	0
2	2	6	38	0	37	17009	0
2	2	6	39	0	38	17659	0
2	2	6	40	0	39	17588	0
2	2	6	41	0	40	17808	0
2	2	6	42	0	41	18147	0
2	2	6	43	0	42	17326	0
2	2	6	44	0	43	17033	0
2	2	6	45	0	44	17695	0
2	2	6	46	0	45	18273	0
2	2	6	47	0	46	18434	0
2	2	6	48	0	47	18826	0
2	2	6	49	0	48	17862	0
2	2	6	50	0	49	17762	0
2	2	6	51	0	50	17476	0
2	2	6	52	0	51	17608	0
2	2	6	53	0	52	18020	0
2	2	6	54	0	53	18061	0
2	2	6	55	0	54	18239	0
2	2	6	56	0	55	17691	0
2	2	6	57	0	56	17588	0
2	2	6	58	0	57	17716	0
2	2	6	59	0	58	18114	0
2	2	6	60	0	59	18059	0
2	2	6	61	1	0	18091	0
2	2	6	62	1	1	17694	0
2	2	6	63	1	2	17420	0
2	2	6	64	1	3	17763	0
2	2	6	65	1	4	17814	0
2	2	6	66	1	5	18074	0
2	2	6	67	1	6	17851	0
2	2	6	68	1	7	17492	0
2	2	6	69	1	8	17608	0
2	2	6	70	1	9	18070	0
2	2	6	71	1	10	17974	0
2	2	6	72	1	11	17782	0
2	2	6	73	1	12	17837	0
2	2	6	74	1	13	17431	0
2	2	6	75	1	14	17897	0
2	2	6	76	1	15	18158	0
2	2	6	77	1	16	17990	0
2	2	6	78	1	17	17670	0
2	2	6	79	1	18	17528	0
2	2	6	80	1	19	17667	0
2	2	6	81	1	20	18108	0
2	2	6	82	1	21	17615	0
2	2	6	83	1	22	17400	0
2	2	6	84	1	23	17851	0
2	2	6	85	1	24	17845	0
2	2	6	86	1	25	17912	0
2	2	6	87	1	26	17808	0
2	2	6	88	1	27	17733	0
2	2	6	89	1	28	17367	0
2	2	6	90	1	29	17988	0
2	2	6	91	1	30	17471	0
2	2	6	92	1	31	17490	0
2	2	6	93	1	32	17436	0
2	2	6	94	1	33	18026	0
2	2	6	95	1	34	17755	0
2	2	6	96	1	35	17779	0
2	2	6	97	1	36	17900	0
2	2	6	98	1	37	17782	0
2	2	6	99	1	38	17495	0
2	2	6	100	1	39	17816	0
2	2	6	101	1	40	17653	0
2	2	6	102	1	41	17744	0
2	2	6	103	1	42	17779	0
2	2	6	104	1	43	18090	0
2	2	6	105	1	44	17946	0
2	2	6	106	1	45	17785	0
2	2	6	107	1	46	17797	0
2	2	6	108	1	47	18538	0
2	2	6	109	1	48	19388	0
2	2	6	110	1	49	19352	0
2	2	6	111	1	50	18894	0
2	2	6	112	1	51	18235	0
2	2	6	113	1	52	17938	0
2	2	6	114	1	53	17281	0
2	2	6	115	1	54	17351	0
2	2	6	116	1	55	17685	0
2	2	6	117	1	56	18044	0
2	2	6	118	1	57	18139	0
2	2	6	119	1	58	17781	0
2	2	6	120	1	59	17256	0
2	2	6	121	2	0	17582	0
2	2	6	122	2	1	17543	0
2	2	6	123	2	2	16679	0
2	2	6	124	2	3	16697	0
2	2	6	125	2	4	17099	0
2	2	6	126	2	5	18136	0
2	2	6	127	2	6	17110	0
2	2	6	128	2	7	17199	0
2	2	6	129	2	8	17924	0
2	2	6	130	2	9	18227	0
2	2	6	131	2	10	16474	0
2	2	6	132	2	11	15890	0
2	2	6	133	2	12	15590	0
2	2	6	134	2	13	16160	0
2	2	6	135	2	14	16787	0
