"PAXSTAT"	"PAXCAL"	"PAXDAY"	"PAXN"	"PAXHOUR"	"PAXMINUT"	"PAXINTEN"	"PAXSTEP"
1	1	7	1	0	0	283	5
1	1	7	2	0	1	26	3
1	1	7	3	0	2	337	8
1	1	7	4	0	3	8	0
1	1	7	5	0	4	102	5
1	1	7	6	0	5	158	7
1	1	7	7	0	6	601	10
1	1	7	8	0	7	19	2
1	1	7	9	0	8	425	11
1	1	7	10	0	9	245	6
1	1	7	11	0	10	112	10
1	1	7	12	0	11	957	35
1	1	7	13	0	12	181	10
1	1	7	14	0	13	138	11
1	1	7	15	0	14	127	2
1	1	7	16	0	15	143	8
1	1	7	17	0	16	164	10
1	1	7	18	0	17	1315	48
1	1	7	19	0	18	1591	57
1	1	7	20	0	19	179	10
1	1	7	21	0	20	147	2
1	1	7	22	0	21	2	0
1	1	7	23	0	22	1	0
1	1	7	24	0	23	527	20
1	1	7	25	0	24	858	37
1	1	7	26	0	25	1368	49
1	1	7	27	0	26	1586	45
1	1	7	28	0	27	1117	26
1	1	7	29	0	28	104	11
1	1	7	30	0	29	767	17
1	1	7	31	0	30	62	5
1	1	7	32	0	31	96	14
1	1	7	33	0	32	92	5
1	1	7	34	0	33	31	4
1	1	7	35	0	34	1091	34
1	1	7	36	0	35	1975	48
1	1	7	37	0	36	794	34
1	1	7	38	0	37	14	3
1	1	7	39	0	38	2	0
1	1	7	40	0	39	75	15
1	1	7	41	0	40	306	20
1	1	7	42	0	41	7	2
1	1	7	43	0	42	34	7
1	1	7	44	0	43	679	19
1	1	7	45	0	44	251	13
1	1	7	46	0	45	92	9
1	1	7	47	0	46	1	0
1	1	7	48	0	47	94	13
1	1	7	49	0	48	432	35
1	1	7	50	0	49	1342	44
1	1	7	51	0	50	45	2
1	1	7	52	0	51	0	1
1	1	7	53	0	52	0	0
1	1	7	54	0	53	2	0
1	1	7	55	0	54	197	2
1	1	7	56	0	55	0	0
1	1	7	57	0	56	7	0
1	1	7	58	0	57	269	3
1	1	7	59	0	58	631	20
1	1	7	60	0	59	880	33
1	1	7	61	1	0	1233	29
1	1	7	62	1	1	952	45
1	1	7	63	1	2	1283	54
1	1	7	64	1	3	1315	39
1	1	7	65	1	4	1377	43
1	1	7	66	1	5	62	8
1	1	7	67	1	6	1215	31
1	1	7	68	1	7	1292	41
1	1	7	69	1	8	2436	64
1	1	7	70	1	9	166	8
1	1	7	71	1	10	176	6
1	1	7	72	1	11	38	5
1	1	7	73	1	12	60	9
1	1	7	74	1	13	1	0
1	1	7	75	1	14	816	28
1	1	7	76	1	15	1963	60
1	1	7	77	1	16	934	39
1	1	7	78	1	17	1543	60
1	1	7	79	1	18	388	22
1	1	7	80	1	19	480	35
1	1	7	81	1	20	1373	59
1	1	7	82	1	21	516	44
1	1	7	83	1	22	800	37
1	1	7	84	1	23	230	9
1	1	7	85	1	24	26	5
1	1	7	86	1	25	27	6
1	1	7	87	1	26	78	14
1	1	7	88	1	27	37	6
1	1	7	89	1	28	88	11
1	1	7	90	1	29	52	11
1	1	7	91	1	30	39	6
1	1	7	92	1	31	57	10
1	1	7	93	1	32	768	4
1	1	7	94	1	33	252	13
1	1	7	95	1	34	105	8
1	1	7	96	1	35	655	26
1	1	7	97	1	36	704	40
1	1	7	98	1	37	747	43
1	1	7	99	1	38	136	8
1	1	7	100	1	39	1392	41
1	1	7	101	1	40	102	10
1	1	7	102	1	41	142	19
1	1	7	103	1	42	29	2
1	1	7	104	1	43	70	4
1	1	7	105	1	44	143	8
1	1	7	106	1	45	153	14
1	1	7	107	1	46	144	13
1	1	7	108	1	47	935	27
1	1	7	109	1	48	55	10
1	1	7	110	1	49	750	36
1	1	7	111	1	50	130	6
1	1	7	112	1	51	819	17
1	1	7	113	1	52	232	2
1	1	7	114	1	53	190	9
1	1	7	115	1	54	699	23
1	1	7	116	1	55	392	15
1	1	7	117	1	56	38	1
1	1	7	118	1	57	89	5
1	1	7	119	1	58	92	3
1	1	7	120	1	59	11	0
1	1	7	121	2	0	984	37
1	1	7	122	2	1	287	13
1	1	7	123	2	2	256	21
1	1	7	124	2	3	102	3
1	1	7	125	2	4	26	2
1	1	7	126	2	5	0	0
1	1	7	127	2	6	0	0
1	1	7	128	2	7	4	0
1	1	7	129	2	8	143	3
1	1	7	130	2	9	1409	21
1	1	7	131	2	10	1364	21
1	1	7	132	2	11	1054	29
1	1	7	133	2	12	32	2
1	1	7	134	2	13	342	7
1	1	7	135	2	14	130	4
1	1	7	136	2	15	799	28
1	1	7	137	2	16	886	40
1	1	7	138	2	17	1014	55
1	1	7	139	2	18	393	11
1	1	7	140	2	19	41	1
1	1	7	141	2	20	22	0
1	1	7	142	2	21	0	0
1	1	7	143	2	22	348	3
1	1	7	144	2	23	84	3
1	1	7	145	2	24	12	1
1	1	7	146	2	25	0	0
1	1	7	147	2	26	0	0
1	1	7	148	2	27	0	0
1	1	7	149	2	28	0	0
1	1	7	150	2	29	0	0
1	1	7	151	2	30	82	2
1	1	7	152	2	31	0	0
1	1	7	153	2	32	0	0
1	1	7	154	2	33	82	1
1	1	7	155	2	34	7	0
1	1	7	156	2	35	22	1
1	1	7	157	2	36	0	0
1	1	7	158	2	37	10	0
1	1	7	159	2	38	44	2
1	1	7	160	2	39	46	2
1	1	7	161	2	40	1044	35
1	1	7	162	2	41	224	8
1	1	7	163	2	42	89	10
1	1	7	164	2	43	41	4
1	1	7	165	2	44	11	3
1	1	7	166	2	45	22	3
1	1	7	167	2	46	33	3
1	1	7	168	2	47	5	0
