"PAXSTAT"	"PAXCAL"	"PAXDAY"	"PAXN"	"PAXHOUR"	"PAXMINUT"	"PAXINTEN"	"PAXSTEP"
1	1	2	1	0	0	536	18
1	1	2	2	0	1	152	10
1	1	2	3	0	2	279	18
1	1	2	4	0	3	473	22
1	1	2	5	0	4	445	18
1	1	2	6	0	5	1235	41
1	1	2	7	0	6	136	8
1	1	2	8	0	7	1009	44
1	1	2	9	0	8	1212	53
1	1	2	10	0	9	1999	68
1	1	2	11	0	10	2214	74
1	1	2	12	0	11	1997	50
1	1	2	13	0	12	915	36
1	1	2	14	0	13	112	7
1	1	2	15	0	14	1150	43
1	1	2	16	0	15	834	49
1	1	2	17	0	16	920	43
1	1	2	18	0	17	712	37
1	1	2	19	0	18	778	38
1	1	2	20	0	19	542	28
1	1	2	21	0	20	350	15
1	1	2	22	0	21	651	35
1	1	2	23	0	22	1588	41
1	1	2	24	0	23	810	42
1	1	2	25	0	24	828	32
1	1	2	26	0	25	365	27
1	1	2	27	0	26	677	26
1	1	2	28	0	27	206	14
1	1	2	29	0	28	1262	44
1	1	2	30	0	29	786	43
1	1	2	31	0	30	527	26
1	1	2	32	0	31	91	7
1	1	2	33	0	32	581	12
1	1	2	34	0	33	504	13
1	1	2	35	0	34	647	23
1	1	2	36	0	35	964	37
1	1	2	37	0	36	926	33
1	1	2	38	0	37	389	24
1	1	2	39	0	38	568	32
1	1	2	40	0	39	717	42
1	1	2	41	0	40	761	36
1	1	2	42	0	41	757	40
1	1	2	43	0	42	722	23
1	1	2	44	0	43	32	3
1	1	2	45	0	44	656	30
1	1	2	46	0	45	1453	35
1	1	2	47	0	46	1146	52
1	1	2	48	0	47	785	31
1	1	2	49	0	48	1312	55
1	1	2	50	0	49	681	42
1	1	2	51	0	50	625	33
1	1	2	52	0	51	73	4
1	1	2	53	0	52	232	13
1	1	2	54	0	53	696	34
1	1	2	55	0	54	340	21
1	1	2	56	0	55	942	41
1	1	2	57	0	56	2331	58
1	1	2	58	0	57	1489	55
1	1	2	59	0	58	964	33
1	1	2	60	0	59	1200	28
1	1	2	61	1	0	982	28
1	1	2	62	1	1	922	29
1	1	2	63	1	2	814	34
1	1	2	64	1	3	698	17
1	1	2	65	1	4	49	5
1	1	2	66	1	5	49	6
1	1	2	67	1	6	41	2
1	1	2	68	1	7	109	9
1	1	2	69	1	8	86	6
1	1	2	70	1	9	257	16
1	1	2	71	1	10	108	11
1	1	2	72	1	11	130	14
1	1	2	73	1	12	154	14
1	1	2	74	1	13	150	17
1	1	2	75	1	14	67	8
1	1	2	76	1	15	82	7
1	1	2	77	1	16	56	4
1	1	2	78	1	17	111	9
1	1	2	79	1	18	126	11
1	1	2	80	1	19	128	14
1	1	2	81	1	20	105	8
1	1	2	82	1	21	344	20
1	1	2	83	1	22	74	6
1	1	2	84	1	23	93	10
1	1	2	85	1	24	68	6
1	1	2	86	1	25	74	6
1	1	2	87	1	26	110	11
1	1	2	88	1	27	7	1
1	1	2	89	1	28	1030	43
1	1	2	90	1	29	336	15
1	1	2	91	1	30	547	22
1	1	2	92	1	31	39	3
1	1	2	93	1	32	27	4
1	1	2	94	1	33	232	21
1	1	2	95	1	34	42	2
1	1	2	96	1	35	52	6
1	1	2	97	1	36	27	2
1	1	2	98	1	37	471	18
1	1	2	99	1	38	168	8
1	1	2	100	1	39	362	13
1	1	2	101	1	40	906	15
1	1	2	102	1	41	1167	25
1	1	2	103	1	42	2377	43
1	1	2	104	1	43	1289	25
1	1	2	105	1	44	1011	20
1	1	2	106	1	45	1360	30
1	1	2	107	1	46	1102	31
1	1	2	108	1	47	560	11
1	1	2	109	1	48	7	1
1	1	2	110	1	49	0	0
1	1	2	111	1	50	20	0
1	1	2	112	1	51	785	26
1	1	2	113	1	52	885	26
1	1	2	114	1	53	160	4
1	1	2	115	1	54	28	1
1	1	2	116	1	55	29	3
1	1	2	117	1	56	16	2
1	1	2	118	1	57	28	3
1	1	2	119	1	58	294	11
1	1	2	120	1	59	819	24
1	1	2	121	2	0	1322	28
1	1	2	122	2	1	1406	38
1	1	2	123	2	2	1833	46
1	1	2	124	2	3	801	33
1	1	2	125	2	4	537	25
1	1	2	126	2	5	380	16
1	1	2	127	2	6	456	22
1	1	2	128	2	7	135	10
1	1	2	129	2	8	606	22
1	1	2	130	2	9	47	7
1	1	2	131	2	10	34	4
1	1	2	132	2	11	86	3
1	1	2	133	2	12	518	27
1	1	2	134	2	13	128	6
1	1	2	135	2	14	36	4
1	1	2	136	2	15	864	24
1	1	2	137	2	16	1171	31
1	1	2	138	2	17	582	6
1	1	2	139	2	18	0	0
1	1	2	140	2	19	0	0
1	1	2	141	2	20	0	0
1	1	2	142	2	21	0	0
1	1	2	143	2	22	0	0
1	1	2	144	2	23	0	0
1	1	2	145	2	24	0	0
1	1	2	146	2	25	0	0
1	1	2	147	2	26	0	0
1	1	2	148	2	27	0	0
1	1	2	149	2	28	0	0
1	1	2	150	2	29	0	0
1	1	2	151	2	30	0	0
1	1	2	152	2	31	0	0
1	1	2	153	2	32	0	0
1	1	2	154	2	33	0	0
1	1	2	155	2	34	0	0
1	1	2	156	2	35	0	0
1	1	2	157	2	36	0	0
1	1	2	158	2	37	0	0
1	1	2	159	2	38	0	0
1	1	2	160	2	39	0	0
1	1	2	161	2	40	0	0
1	1	2	162	2	41	0	0
1	1	2	163	2	42	0	0
1	1	2	164	2	43	0	0
1	1	2	165	2	44	0	0
1	1	2	166	2	45	0	0
1	1	2	167	2	46	0	0
1	1	2	168	2	47	0	0
1	1	2	169	2	48	0	0
1	1	2	170	2	49	0	0
1	1	2	171	2	50	0	0
1	1	2	172	2	51	0	0
1	1	2	173	2	52	0	0
1	1	2	174	2	53	0	0
1	1	2	175	2	54	0	0
1	1	2	176	2	55	0	0
1	1	2	177	2	56	0	0
1	1	2	178	2	57	0	0
1	1	2	179	2	58	0	0
1	1	2	180	2	59	0	0
1	1	2	181	3	0	0	0
1	1	2	182	3	1	0	0
1	1	2	183	3	2	0	0
1	1	2	184	3	3	0	0
1	1	2	185	3	4	0	0
1	1	2	186	3	5	0	0
1	1	2	187	3	6	0	0
1	1	2	188	3	7	0	0
1	1	2	189	3	8	0	0
1	1	2	190	3	9	0	0
1	1	2	191	3	10	0	0
1	1	2	192	3	11	0	0
1	1	2	193	3	12	0	0
1	1	2	194	3	13	0	0
1	1	2	195	3	14	0	0
1	1	2	196	3	15	0	0
1	1	2	197	3	16	0	0
1	1	2	198	3	17	0	0
1	1	2	199	3	18	0	0
1	1	2	200	3	19	0	0
1	1	2	201	3	20	0	0
1	1	2	202	3	21	0	0
1	1	2	203	3	22	0	0
1	1	2	204	3	23	0	0
1	1	2	205	3	24	0	0
1	1	2	206	3	25	0	0
1	1	2	207	3	26	0	0
1	1	2	208	3	27	0	0
1	1	2	209	3	28	0	0
1	1	2	210	3	29	0	0
1	1	2	211	3	30	0	0
1	1	2	212	3	31	0	0
1	1	2	213	3	32	0	0
1	1	2	214	3	33	0	0
1	1	2	215	3	34	0	0
1	1	2	216	3	35	0	0
1	1	2	217	3	36	0	0
1	1	2	218	3	37	0	0
1	1	2	219	3	38	0	0
1	1	2	220	3	39	0	0
1	1	2	221	3	40	0	0
1	1	2	222	3	41	0	0
1	1	2	223	3	42	0	0
1	1	2	224	3	43	0	0
1	1	2	225	3	44	0	0
1	1	2	226	3	45	0	0
1	1	2	227	3	46	0	0
1	1	2	228	3	47	0	0
1	1	2	229	3	48	0	0
